IDIOMA; NÚMERO VÉRTICES; NÚMERO ARESTAS; DIÂMETRO; GRAU MÉDIO SAÍDA; GRAU MÉDIO ENTRADA; BETWEENNESS MÉDIO; CLOSENESS MÉDIO; DENSIDADE; TRANSITIVIDADE; TOP FIVE PAGE RANK
Inglês;563;36213;7;64.66429840142096;64.66429840142096;718.8223801065715;0.4139144205284542;0.11506102918402306;0.5878841779476051;[Good Will Hunting, True Grint (2010), Michael Clayton, Inception, Licorice Pizza]
Espanhol;342;669;31;1.956140350877193;1.956140350877193;1031.0789473684206;0.061083973014616585;0.005736481967381798;0.06051502145922747;[Sin novedad en el frente (película de 1930), Elizabeth (película), El patriota (película de 1928), Deliverance (película), Romeo y Julieta (película de 1968)]
Português;442;16845;6;38.11085972850679;38.11085972850679;470.5135746606337;0.3255453100587814;0.08641918305783852;0.6557372308182713;[Gisaengchung, 12 Years a Slave, My Fair Lady, O Artista, Argo (filme)]
                    pt: 0.00818812691215582 0.007646761542883325 0.007282861176756606 0.0072345330060007255 0.007215399964639395
                    es: 0.02011757092567027, 0.015485779182997747, 0.014542482635307535, 0.014125430379634752, 0.012947190198906543
