,Topic,Name,Representation
62,-1,-1_judah_maximus_marcellus_heathcliff,"['judah', 'maximus', 'marcellus', 'heathcliff', 'crew', 'shelby', 'roman', 'nero', 'governor', 'demetrius']"
63,0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']"
64,1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']"
65,2,2_michael_vito_sheeran_hoffa,"['michael', 'vito', 'sheeran', 'hoffa', 'maría', 'tony', 'family', 'laszlo', 'bernardo', 'gangs']"
66,0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']"
67,0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']"
68,1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']"
69,0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']"
70,2,2_michael_vito_sheeran_hoffa,"['michael', 'vito', 'sheeran', 'hoffa', 'maría', 'tony', 'family', 'laszlo', 'bernardo', 'gangs']"
71,1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']"
72,1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']"
73,-1,-1_judah_maximus_marcellus_heathcliff,"['judah', 'maximus', 'marcellus', 'heathcliff', 'crew', 'shelby', 'roman', 'nero', 'governor', 'demetrius']"
74,1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']"
75,0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']"
76,1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']"
