ANO;TITULO;VENCEDOR;LINK WIKIPEDIA;LINK ESPANHOL;LINK PORTUGUÊS
1934;Lady for a Day;Não;https://en.wikipedia.org/wiki/Lady_for_a_Day;https://es.wikipedia.org/wiki/Dama_por_un_d%C3%ADa;https://pt.wikipedia.org/wiki/Lady_for_a_Day
1934;Little Men (1934 film);Não;https://en.wikipedia.org/wiki/Little_Men_(1934_film);;
1934;The Private Life of Henry VIII;Não;https://en.wikipedia.org/wiki/The_Private_Life_of_Henry_VIII;https://es.wikipedia.org/wiki/La_vida_privada_de_Enrique_VIII;https://pt.wikipedia.org/wiki/The_Private_Life_of_Henry_VIII
1934;Nanette Newman;Não;;;
1934;Smilin' Through (1932 film);Não;https://en.wikipedia.org/wiki/Smilin%27_Through_(1932_film);;https://pt.wikipedia.org/wiki/Smilin%27_Through
1934;State Fair (1933 film);Não;https://en.wikipedia.org/wiki/State_Fair_(1933_film);https://es.wikipedia.org/wiki/La_feria_de_la_vida;https://pt.wikipedia.org/wiki/State_Fair_(1933)
1935;It Happened One Night;Sim;https://en.wikipedia.org/wiki/It_Happened_One_Night;https://es.wikipedia.org/wiki/It_Happened_One_Night;https://pt.wikipedia.org/wiki/It_Happened_One_Night
1935;The Barretts of Wimpole Street (1934 film);Não;https://en.wikipedia.org/wiki/The_Barretts_of_Wimpole_Street_(1934_film);https://es.wikipedia.org/wiki/The_Barretts_of_Wimpole_Street;https://pt.wikipedia.org/wiki/The_Barretts_of_Wimpole_Street
1935;Cleopatra (1934 film);Não;https://en.wikipedia.org/wiki/Cleopatra_(1934_film);https://es.wikipedia.org/wiki/Cleopatra_(pel%C3%ADcula_de_1934);https://pt.wikipedia.org/wiki/Cle%C3%B3patra_(1934)
1935;Flirtation Walk;Não;https://en.wikipedia.org/wiki/Flirtation_Walk;https://es.wikipedia.org/wiki/Flirtation_Walk;https://pt.wikipedia.org/wiki/Flirtation_Walk
1935;The Gay Divorcee;Não;https://en.wikipedia.org/wiki/The_Gay_Divorcee;https://es.wikipedia.org/wiki/La_alegre_divorciada;https://pt.wikipedia.org/wiki/A_Alegre_Divorciada
1935;Here Comes the Navy;Não;https://en.wikipedia.org/wiki/Here_Comes_the_Navy;;https://pt.wikipedia.org/wiki/Here_Comes_the_Navy
1935;The House of Rothschild;Não;https://en.wikipedia.org/wiki/The_House_of_Rothschild;;https://pt.wikipedia.org/wiki/The_House_of_Rothschild
1935;Imitation of Life;Não;https://en.wikipedia.org/wiki/Imitation_of_Life_(1934_film);https://es.wikipedia.org/wiki/Imitaci%C3%B3n_de_la_vida;https://pt.wikipedia.org/wiki/Imitation_of_Life_(1934)
1935;One Night of Love;Não;https://en.wikipedia.org/wiki/One_Night_of_Love;https://es.wikipedia.org/wiki/Una_noche_de_amor;https://pt.wikipedia.org/wiki/One_Night_of_Love
1935;The Thin Man;Não;https://en.wikipedia.org/wiki/The_Thin_Man_(film);https://es.wikipedia.org/wiki/La_cena_de_los_acusados;https://pt.wikipedia.org/wiki/The_Thin_Man
1935;Viva Villa!;Não;https://en.wikipedia.org/wiki/Viva_Villa!;https://es.wikipedia.org/wiki/Viva_Villa!;https://pt.wikipedia.org/wiki/Viva_Villa!
1935;The White Parade;Não;https://en.wikipedia.org/wiki/The_White_Parade;;https://pt.wikipedia.org/wiki/The_White_Parade
1936;Mutiny on the Bounty (1935 film);Sim;https://en.wikipedia.org/wiki/Mutiny_on_the_Bounty_(1935_film);https://es.wikipedia.org/wiki/Mutiny_on_the_Bounty_(pel%C3%ADcula_de_1935);https://pt.wikipedia.org/wiki/Mutiny_on_the_Bounty_(1935)
1936;Broadway Melody of 1936;Não;https://en.wikipedia.org/wiki/Broadway_Melody_of_1936;https://es.wikipedia.org/wiki/Broadway_Melody_of_1936;https://pt.wikipedia.org/wiki/Broadway_Melody_of_1936
1936;Captain Blood (1935 film);Não;https://en.wikipedia.org/wiki/Captain_Blood_(1935_film);https://es.wikipedia.org/wiki/El_capit%C3%A1n_Blood_(pel%C3%ADcula_de_1935);https://pt.wikipedia.org/wiki/O_Capit%C3%A3o_Blood
1936;David Copperfield (1935 film);Não;https://en.wikipedia.org/wiki/David_Copperfield_(1935_film)1936;;
1936;Alice Adams (1935 film);Não;https://en.wikipedia.org/wiki/Alice_Adams_(1935_film);https://es.wikipedia.org/wiki/Alice_Adams;https://pt.wikipedia.org/wiki/Alice_Adams
1936;The Informer (film);Não;https://en.wikipedia.org/wiki/The_Informer_(1935_film);https://es.wikipedia.org/wiki/El_delator;https://pt.wikipedia.org/wiki/The_Informer
1936;Les Misérables;Não;https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(1935_film);https://es.wikipedia.org/wiki/Les_Mis%C3%A9rables_(pel%C3%ADcula_de_1935);https://pt.wikipedia.org/wiki/Les_Mis%C3%A9rables_(1935)
1936;The Lives of a Bengal Lancer (film);Não;https://en.wikipedia.org/wiki/The_Lives_of_a_Bengal_Lancer_(film);https://es.wikipedia.org/wiki/The_Lives_of_a_Bengal_Lancer;https://pt.wikipedia.org/wiki/Lanceiros_da_%C3%8Dndia
1936;A Midsummer Night's Dream (1935 film);Não;https://en.wikipedia.org/wiki/A_Midsummer_Night%27s_Dream_(1935_film);https://es.wikipedia.org/wiki/El_sue%C3%B1o_de_una_noche_de_verano_(pel%C3%ADcula_de_1935);https://pt.wikipedia.org/wiki/Sonho_de_uma_Noite_de_Ver%C3%A3o_(1935)
1936;Naughty Marietta (film);Não;https://en.wikipedia.org/wiki/Naughty_Marietta_(film);https://es.wikipedia.org/wiki/Naughty_Marietta;https://pt.wikipedia.org/wiki/Naughty_Marietta
1936;Ruggles of Red Gap;Não;https://en.wikipedia.org/wiki/Ruggles_of_Red_Gap;;https://pt.wikipedia.org/wiki/Ruggles_of_Red_Gap
1936;Top Hat;Não;https://en.wikipedia.org/wiki/Top_Hat;https://es.wikipedia.org/wiki/Sombrero_de_copa_(pel%C3%ADcula);https://pt.wikipedia.org/wiki/Top_Hat
1937;The Great Ziegfeld;Sim;https://en.wikipedia.org/wiki/The_Great_Ziegfeld;https://es.wikipedia.org/wiki/El_gran_Ziegfeld;https://pt.wikipedia.org/wiki/The_Great_Ziegfeld
1937;Anthony Adverse;Não;https://en.wikipedia.org/wiki/Anthony_Adverse;https://es.wikipedia.org/wiki/Anthony_Adverse;https://pt.wikipedia.org/wiki/Adversidade
1937;Libeled Lady;Não;https://en.wikipedia.org/wiki/Libeled_Lady;https://es.wikipedia.org/wiki/Libeled_Lady;https://pt.wikipedia.org/wiki/Libeled_Lady
1937;Dodsworth (film);Não;https://en.wikipedia.org/wiki/Dodsworth_(film);;https://pt.wikipedia.org/wiki/Dodsworth
1937;Mr. Deeds Goes to Town;Não;https://en.wikipedia.org/wiki/Mr._Deeds_Goes_to_Town;https://es.wikipedia.org/wiki/El_secreto_de_vivir;https://pt.wikipedia.org/wiki/Mr._Deeds_Goes_to_Town
1937;Romeo and Juliet (1936 film);Não;https://en.wikipedia.org/wiki/Romeo_and_Juliet_(1936_film);https://es.wikipedia.org/wiki/Romeo_y_Julieta_(pel%C3%ADcula_de_1936);https://pt.wikipedia.org/wiki/Romeo_and_Juliet_(1936)
1937;San Francisco (1936 film);Não;https://en.wikipedia.org/wiki/San_Francisco_(1936_film);;https://pt.wikipedia.org/wiki/San_Francisco_(filme)
1937;The Story of Louis Pasteur;Não;https://en.wikipedia.org/wiki/The_Story_of_Louis_Pasteur;https://es.wikipedia.org/wiki/The_Story_of_Louis_Pasteur;https://pt.wikipedia.org/wiki/The_Story_of_Louis_Pasteur
1937;A Tale of Two Cities;Não;;;
1937;Three Smart Girls;Não;https://en.wikipedia.org/wiki/Three_Smart_Girls;;https://pt.wikipedia.org/wiki/Three_Smart_Girls
1938;The Life of Emile Zola;Sim;https://en.wikipedia.org/wiki/The_Life_of_Emile_Zola;https://es.wikipedia.org/wiki/The_Life_of_Emile_Zola;https://pt.wikipedia.org/wiki/The_Life_of_Emile_Zola
1938;The Awful Truth;Não;https://en.wikipedia.org/wiki/The_Awful_Truth;https://es.wikipedia.org/wiki/The_Awful_Truth;https://pt.wikipedia.org/wiki/The_Awful_Truth
1938;Captains Courageous (1937 film);Não;https://en.wikipedia.org/wiki/Captains_Courageous_(1937_film);https://es.wikipedia.org/wiki/Capitanes_intr%C3%A9pidos;https://pt.wikipedia.org/wiki/Captains_Courageous
