Topic,Name,Representation,Count
3,3_missão_anel_michael_soldados,"['missão', 'anel', 'michael', 'soldados', 'hur', 'nave', 'wikus', 'maverick', 'tripulação', 'miller']",53
-1,-1_elio_hugo_oliver_fera,"['elio', 'hugo', 'oliver', 'fera', 'georges', 'molly', 'schultz', 'castelo', 'waters', 'autômato']",140
2,2_história_nova_mentiras_dez,"['história', 'nova', 'mentiras', 'dez', 'detetive', '1930', 'york', 'rothschild', '1860', 'autobiográfico']",61
0,0_casa_chris_noite_michael,"['casa', 'chris', 'noite', 'michael', 'mãe', 'após', 'começa', 'daisy', 'george', 'volta']",86
6,6_barry_lyndon_wallace_escoceses,"['barry', 'lyndon', 'wallace', 'escoceses', 'jody', 'redmond', 'orry', 'villa', 'errol', 'nobres']",13
4,4_henrique_apaixona_henriette_duque,"['henrique', 'apaixona', 'henriette', 'duque', 'rainha', 'elizabeth', 'vida', 'sucesso', 'piano', 'noiva']",46
1,1_amiga_maria_margaret_emma,"['amiga', 'maria', 'margaret', 'emma', 'inglaterra', 'casar', 'estadunidense', 'jerry', 'chegada', 'esposa']",66
5,5_bell_terry_motel_friendly,"['bell', 'terry', 'motel', 'friendly', 'cowboy', 'jean', 'capitão', 'prêmio', 'popeye', 'saloon']",44
