NOME;LINKS;REFERENCES;CONTENT
The Country Girl;59;2;1834
Seven Brides for Seven Brothers;67;39;2236
Three Coins in the Fountain;108;27;2250
Marty;215;32;1744
Love Is a Many-Splendored Thing;170;32;1509
Mister Roberts;190;35;836
Picnic (filme);90;37;7263
A Rosa Tatuada;98;32;1283
A Volta ao Mundo em 80 Dias (1956);224;43;2661
Friendly Persuasion;46;27;1267
O Rei e Eu;201;30;1597
Giant (filme);61;41;1925
Os Dez Mandamentos (filme de 1956);90;37;2292
A Ponte do Rio Kwai;246;50;3625
Peyton Place (filme);74;31;1935
Sayonara;40;27;1483
12 Angry Men;290;47;1352
Testemunha de Acusação (filme);122;39;6200
Gigi (filme);274;35;2646
Auntie Mame;114;30;550
Cat on a Hot Tin Roof (filme);24;3;1869
The Defiant Ones;35;1;652
Vidas Separadas;57;38;1791
Ben-Hur;398;41;15782
Anatomia de um Crime;252;43;672
O Diário de Anne Frank;90;36;1253
The Nun's Story;66;38;3543
Room at the Top;55;31;1035
The Apartment;300;44;1945
The Alamo (1960);59;40;1217
Elmer Gantry;37;29;526
Sons and Lovers;102;26;1183
The Sundowners;54;33;880
West Side Story (1961);274;10;3573
Fanny (filme);59;37;726
Os Canhões de Navarone;92;39;3300
The Hustler;76;47;912
Judgment at Nuremberg;75;39;985
Lawrence da Arábia (filme);283;52;8138
The Longest Day;187;36;1218
The Music Man;147;28;614
Mutiny on the Bounty (1962);161;39;1644
To Kill a Mockingbird;51;19;6412
Tom Jones (1963);351;33;2467
America, America;65;38;1888
Cleópatra (1963);201;63;13170
A Conquista do Oeste;241;38;3363
Lilies of the Field (1963);71;26;1598
My Fair Lady;307;8;1919
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;255;62;6264
Becket (1964);121;31;1058
Mary Poppins (filme);313;89;17551
Zorba, o Grego (filme);66;7;4051
The Sound of Music;363;55;25565
Doutor Jivago (filme);225;12;3921
Ship of Fools (filme);54;28;894
Darling (filme);75;32;1328
A Thousand Clowns;31;28;783
A Man for All Seasons;241;49;1298
Alfie;127;33;563
The Russians Are Coming, the Russians Are Coming;181;34;1408
The Sand Pebbles;86;2;1283
Quem Tem Medo de Virginia Woolf?;59;42;847
No Calor da Noite (filme);210;37;2613
Bonnie e Clyde;59;11;6909
Doctor Dolittle (1967);68;41;660
The Graduate;164;48;4736
Guess Who's Coming to Dinner;83;45;7130
Oliver!;231;42;2504
Funny Girl;323;95;20316
O Leão no Inverno (1968);102;38;1089
Rachel, Rachel;42;3;2880
Romeu e Julieta (1968);45;2;2236
Midnight Cowboy;245;41;3246
Anne of the Thousand Days;102;32;694
Butch Cassidy and the Sundance Kid;291;38;2471
Hello, Dolly!;85;38;1644
Z (filme);277;35;538
Patton (filme);176;44;3839
Aeroporto (filme);132;46;7731
MASH (filme);267;43;2169
Five Easy Pieces;79;42;4242
Love Story (1970);94;39;1881
The French Connection;184;17;6978
Laranja Mecânica (filme);373;193;46354
Fiddler on the Roof;24;6;1508
The Last Picture Show;74;36;1426
Nicholas and Alexandra;102;32;6027
The Godfather;580;299;52727
Cabaret (filme);459;120;26164
Deliverance (filme);72;38;1271
Os Emigrantes;114;8;1101
Sounder;51;28;1245
The Sting;221;45;2208
American Graffiti;280;44;1697
Viskningar och rop;180;35;1137
O Exorcista;189;58;12006
Um Toque de Classe;42;26;1573
The Godfather Part II;246;49;2814
Chinatown (filme);173;60;12751
The Conversation;118;0;750
Lenny (filme);60;33;709
The Towering Inferno;57;31;2731
One Flew Over the Cuckoo's Nest;246;60;14731
Barry Lyndon;67;40;5715
Um Dia de Cão;104;44;1561
Tubarão (filme);431;81;18078
Nashville (filme);115;4;7196
Rocky;338;86;12888
All the President's Men;159;38;3483
Bound for Glory (filme);64;30;1825
Network (filme);116;37;3149
Taxi Driver;232;44;15764
Annie Hall;268;46;827
The Goodbye Girl;175;34;9084
Julia (filme);162;45;2807
Star Wars: Episódio IV – Uma Nova Esperança;674;128;38414
The Turning Point (1977);61;27;2395
The Deer Hunter;210;49;11371
Coming Home (1978);65;34;1582
O Céu Pode Esperar (1978);144;43;1028
O Expresso da Meia-Noite;113;43;1133
An Unmarried Woman;75;33;155
Kramer vs. Kramer;195;40;940
All That Jazz;139;43;1546
Apocalypse Now;345;89;54046
Breaking Away;240;36;1201
Norma Rae;55;38;2406
Ordinary People;165;44;2191
Coal Miner's Daughter;154;41;1203
O Homem Elefante;287;62;15978
Raging Bull;147;50;14841
Tess (filme);226;39;3688
Chariots of Fire;292;10;2945
Atlantic City (1980);105;36;2646
On Golden Pond;77;42;2140
Raiders of the Lost Ark;643;131;41664
Reds;77;35;1892
Gandhi (filme);303;45;2345
E.T. O Extraterrestre;319;174;38000
Missing - O Desaparecido;198;44;2140
Tootsie;163;43;2383
O Veredicto;117;39;496
Laços de Ternura;151;14;3153
The Big Chill;58;37;1229
The Dresser;51;31;540
Os Eleitos;57;44;1652
Tender Mercies;56;39;1430
Amadeus;395;45;17129
The Killing Fields;75;40;2728
Passagem para a Índia (filme);234;48;12076
Um Lugar no Coração;68;35;566
A Soldier's Story;107;6;7241
Out of Africa;249;26;17159
A Cor Púrpura (filme de 1985);141;44;1019
O Beijo da Mulher Aranha;182;50;14733
Prizzi's Honor;183;37;1361
