FILME; COMUNIDADE
West Side Story (2021 film);5
Who's Afraid of Virginia Woolf? (film);5
Winter's Bone;5
Women Talking (film);5
American Graffiti;6
Annie Hall;6
An Unmarried Woman;6
A Place in the Sun (1951 film);6
Apocalypse Now;6
Born on the Fourth of July (film);6
Coming Home (1978 film);6
Dodsworth (film);6
Dog Day Afternoon;6
Goodfellas;6
Hannah and Her Sisters;6
Hugo (film);6
Julia (1977 film);6
Midnight Cowboy;6
Midnight Express (film);6
Midnight in Paris;6
Mississippi Burning;6
Platoon (film);6
Schindler's List;6
The Deer Hunter;6
The English Patient (film);6
The Godfather;6
The Godfather Part II;6
The Godfather Part III;6
The Goodbye Girl;6
The Irishman;6
The Pianist (2002 film);6
The Piano;6
The Shawshank Redemption;6
The Wolf of Wall Street (2013 film);6
49th Parallel (film);7
A Clockwork Orange (film);7
All the President's Men (film);7
Barry Lyndon;7
BlacKkKlansman;7
Bonnie and Clyde (film);7
Bound for Glory (1976 film);7
Broadcast News (film);7
Bugsy;7
Butch Cassidy and the Sundance Kid;7
Children of a Lesser God (film);7
Citizen Kane;7
CODA (2021 film);7
Deliverance;7
Dr. Strangelove;7
Fargo (1996 film);7
Get Out;7
Guess Who's Coming to Dinner;7
Heaven Can Wait (1978 film);7
Here Comes Mr. Jordan;7
Hope and Glory (film);7
In the Bedroom;7
Judas and the Black Messiah;7
Kitty Foyle (film);7
Little Miss Sunshine;7
Mank;7
Million Dollar Baby;7
Nashville (film);7
Network (1976 film);7
Once Upon a Time in Hollywood;7
Pulp Fiction;7
Raging Bull;7
Reds (film);7
Rocky;7
Roma (2018 film);7
Shine (film);7
Silver Linings Playbook;7
Sound of Metal;7
Stagecoach (1939 film);7
Stage Door;7
Tár;7
Taxi Driver;7
Tender Mercies;7
Terms of Endearment;7
Tess (1979 film);7
The Conversation;7
The Departed;7
The Dresser (1983 film);7
The Elephant Man (film);7
The Fighter;7
There Will Be Blood;7
The Right Stuff (film);7
The Towering Inferno;7
The Trial of the Chicago 7;7
12 Years a Slave (film);8
Babel (film);8
Birdman (film);8
Boyhood (2014 film);8
Bridge of Spies (film);8
Brokeback Mountain;8
Brooklyn (film);8
Call Me by Your Name (film);8
Capote (film);8
Crash (2004 film);8
Crouching Tiger, Hidden Dragon;8
Don't Look Up;8
Fences (film);8
Good Night, and Good Luck;8
Hidden Figures;8
Lady Bird (film);8
La La Land;8
Life of Pi (film);8
Lion (2016 film);8
Little Women (1933);8
Little Women (2019 film);8
Milk (2008 American film);8
Moneyball (film);8
Moonlight (2016 film);8
Nebraska (film);8
Spotlight (film);8
The Big Short (film);8
The Curious Case of Benjamin Button (film);8
The Descendants;8
The Favourite;8
The Martian (film);8
The Post (film);8
The Revenant (2015 film);8
Vice (2018 film);8
Whiplash (2014 film);8
Casablanca (film);9
Cries and Whispers;9
Erin Brockovich (film);9
For Whom the Bell Tolls (film);9
In Which We Serve;9
JFK (film);9
La Grande Illusion;9
Of Mice and Men (1939 film);9
Sayonara;9
Seven Brides for Seven Brothers;9
The Emigrants (film);9
The Grapes of Wrath (film);9
The Long Voyage Home;9
The Ox-Bow Incident;9
The Snake Pit;9
Traffic (2000 film);9
Watch on the Rhine;9
Witness for the Prosecution (1957 film);9
Z (1969 film);9
Alice Adams (1935 film);10
America America;10
As Good as It Gets;10
Cavalcade (1933 film);10
David Copperfield (1935 film);10
Father of the Bride (1950 film);10
How the West Was Won (film);10
Inglourious Basterds;10
In Old Chicago;10
It's a Wonderful Life;10
It Happened One Night;10
Lady for a Day;10
Libeled Lady;10
Little Women (1933 film);10
Lost Horizon (1937 film);10
Miracle on 34th Street;10
Mr. Deeds Goes to Town;10
Mutiny on the Bounty (1935 film);10
Mutiny on the Bounty (1962 film);10
One Flew Over the Cuckoo's Nest (film);10
One Hundred Men and a Girl;10
Ruggles of Red Gap;10
San Francisco (1936 film);10
State Fair (1933 film);10
Test Pilot (film);10
The Alamo (1960 film);10
The Awful Truth;10
The Gay Divorcee;10
The Great Ziegfeld;10
The Green Mile (film);10
The Guns of Navarone (film);10
The Last Picture Show;10
The Life of Emile Zola;10
The Lives of a Bengal Lancer (film);10
The Longest Day (film);10
The Silence of the Lambs (film);10
The Story of Louis Pasteur;10
The Thin Man (film);10
Tom Jones (1963 film);10
Top hat;10
Top Hat;10
Wings (1927 film);10
You Can't Take It with You (film);10
Zorba the Greek (film);10
Amadeus (film);11
American Sniper;11
An American in Paris (film);11
Anthony Adverse;11
Apollo 13 (film);11
Argo (2012 film);11
A Room with a View (1985 film);11
A Streetcar Named Desire (1951 film);11
Awakenings;11
Babe (film);11
Bohemian Rhapsody (film);11
Braveheart;11
Captain Blood (1935 film);11
Cat on a Hot Tin Roof (1958 film);11
Dallas Buyers Club;11
Darkest Hour (film);11
Django Unchained;11
Driving Miss Daisy;11
Everything Everywhere All at Once;11
Extremely Loud & Incredibly Close (film);11
Ford v Ferrari;11
Gigi (1958 film);11
Gladiator (2000 film);11
Green Book (film);11
Hacksaw Ridge;11
Hamlet (1948 film);11
Henry V (1944 film);11
Howards End (film);11
Il Postino: The Postman;11
Joker (2019 film);11
Kiss of the Spider Woman (film);11
Les Misérables (2012 film);11
Letters from Iwo Jima;11
Licorice Pizza;11
Life Is Beautiful;11
Lincoln (film);11
Manchester by the Sea (film);11
Marty (film);11
My Left Foot;11
Mystic River (film);11
Nightmare Alley (2021 film);11
Norma Rae;11
On the Waterfront;11
Out of Africa (film);11
Parasite (2019 film);11
Philomena (film);11
Places in the Heart;11
Rain Man;11
Seabiscuit (film);11
Selma (film);11
Sense and Sensibility (film);11
The Adventures of Robin Hood;11
The Artist (film);11
The Grand Budapest Hotel;11
The Imitation Game;11
The Killing Fields (film);11
The Last Emperor;11
The Lord of the Rings: The Fellowship of the Ring;11
The Lord of the Rings: The Return of the King;11
