FILME; COMUNIDADE
O Segredo de Brokeback Mountain; 33
BlacKkKlansman; 34
Get Out; 34
Guess Who's Coming to Dinner; 34
Lady Bird; 35
Little Women (2019); 35
A Room with a View; 36
Hannah and Her Sisters; 36
As Vinhas da Ira (filme); 37
The Snake Pit; 37
