Parasite (2019 film);1250;346;39457
Ford v Ferrari;524;139;12000
The Irishman;633;295;39665
Jojo Rabbit;476;305;53573
Joker (2019 film);797;522;55638
Little Women (2019 film);275;215;19212
Marriage Story;186;117;13701
1917 (2019 film);512;157;17505
Once Upon a Time in Hollywood;915;516;77280
Nomadland;799;115;13188
The Father (2020 film);275;105;10390
Judas and the Black Messiah;372;122;14409
Mank;332;162;14544
Minari (film);352;112;14573
Promising Young Woman;198;90;12631
Sound of Metal;206;150;8802
The Trial of the Chicago 7;276;140;19100
CODA (2021 film);523;125;25327
Belfast (film);379;111;11136
Don't Look Up;349;278;28654
Drive My Car (film);790;48;12886
Dune (2021 film);466;499;62517
King Richard (film);252;159;12652
Licorice Pizza;278;100;13161
Nightmare Alley (2021 film);245;170;19773
The Power of the Dog (film);411;73;15352
West Side Story (2021 film);619;265;39156
Everything Everywhere All at Once;668;241;31287
All Quiet on the Western Front (2022 film);519;111;13031
Avatar: The Way of Water;404;552;57039
The Banshees of Inisherin;362;93;16444
Elvis (2022 film);624;219;26406
The Fabelmans;517;178;54287
Tár;358;160;20897
Top Gun: Maverick;797;417;38562
Triangle of Sadness;322;132;12394
Women Talking (film);170;77;12204
