,Topic,Name,Representation
392,11,11_mutiny_captain_robin_dunkirk,"['mutiny', 'captain', 'robin', 'dunkirk', 'braveheart', 'slave', 'flynn', 'navy', 'crew', 'mcqueen']"
393,2,2_coppola_godfather_panther_spielberg,"['coppola', 'godfather', 'panther', 'spielberg', 'film', 'corleone', 'schindler', 'films', 'wakanda', 'dune']"
394,5,5_musical_astaire_ziegfeld_broadway,"['musical', 'astaire', 'ziegfeld', 'broadway', 'dance', 'bernadette', 'poppins', 'songs', 'sung', 'melody']"
395,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
396,13,13_hawking_woodward_bernstein_stephen,"['hawking', 'woodward', 'bernstein', 'stephen', 'watergate', 'redmayne', 'kwan', 'multiverse', 'jules', 'michelle']"
397,2,2_coppola_godfather_panther_spielberg,"['coppola', 'godfather', 'panther', 'spielberg', 'film', 'corleone', 'schindler', 'films', 'wakanda', 'dune']"
398,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
399,1,1_maximus_cleopatra_shakespeare_queen,"['maximus', 'cleopatra', 'shakespeare', 'queen', 'gladiator', 'hamlet', 'romeo', 'roman', 'juliet', 'antony']"
400,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
401,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
402,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
403,11,11_mutiny_captain_robin_dunkirk,"['mutiny', 'captain', 'robin', 'dunkirk', 'braveheart', 'slave', 'flynn', 'navy', 'crew', 'mcqueen']"
404,4,4_higgins_oliver_mildred_eliza,"['higgins', 'oliver', 'mildred', 'eliza', 'hepburn', 'belinda', 'fanny', 'hitchcock', 'cary', 'mrs']"
405,0,0_tarantino_forrest_exorcist_pulp,"['tarantino', 'forrest', 'exorcist', 'pulp', 'film', 'gump', 'scene', 'woodroof', 'director', 'critics']"
406,6,6_juno_sammy_festival_deaf,"['juno', 'sammy', 'festival', 'deaf', 'cassie', '2021', 'samantha', 'awards', '2020', 'miles']"
407,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
408,1,1_maximus_cleopatra_shakespeare_queen,"['maximus', 'cleopatra', 'shakespeare', 'queen', 'gladiator', 'hamlet', 'romeo', 'roman', 'juliet', 'antony']"
409,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
410,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
411,5,5_musical_astaire_ziegfeld_broadway,"['musical', 'astaire', 'ziegfeld', 'broadway', 'dance', 'bernadette', 'poppins', 'songs', 'sung', 'melody']"
412,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
413,0,0_tarantino_forrest_exorcist_pulp,"['tarantino', 'forrest', 'exorcist', 'pulp', 'film', 'gump', 'scene', 'woodroof', 'director', 'critics']"
414,2,2_coppola_godfather_panther_spielberg,"['coppola', 'godfather', 'panther', 'spielberg', 'film', 'corleone', 'schindler', 'films', 'wakanda', 'dune']"
415,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
416,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
417,1,1_maximus_cleopatra_shakespeare_queen,"['maximus', 'cleopatra', 'shakespeare', 'queen', 'gladiator', 'hamlet', 'romeo', 'roman', 'juliet', 'antony']"
418,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
419,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
420,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
421,3,3_chaplin_patton_soldiers_casablanca,"['chaplin', 'patton', 'soldiers', 'casablanca', 'platoon', 'army', 'soldier', 'filming', 'combat', 'vietnam']"
422,4,4_higgins_oliver_mildred_eliza,"['higgins', 'oliver', 'mildred', 'eliza', 'hepburn', 'belinda', 'fanny', 'hitchcock', 'cary', 'mrs']"
423,4,4_higgins_oliver_mildred_eliza,"['higgins', 'oliver', 'mildred', 'eliza', 'hepburn', 'belinda', 'fanny', 'hitchcock', 'cary', 'mrs']"
424,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
425,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
426,6,6_juno_sammy_festival_deaf,"['juno', 'sammy', 'festival', 'deaf', 'cassie', '2021', 'samantha', 'awards', '2020', 'miles']"
427,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
428,13,13_hawking_woodward_bernstein_stephen,"['hawking', 'woodward', 'bernstein', 'stephen', 'watergate', 'redmayne', 'kwan', 'multiverse', 'jules', 'michelle']"
429,5,5_musical_astaire_ziegfeld_broadway,"['musical', 'astaire', 'ziegfeld', 'broadway', 'dance', 'bernadette', 'poppins', 'songs', 'sung', 'melody']"
430,2,2_coppola_godfather_panther_spielberg,"['coppola', 'godfather', 'panther', 'spielberg', 'film', 'corleone', 'schindler', 'films', 'wakanda', 'dune']"
431,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
432,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
433,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
434,8,8_rocky_micky_graffiti_champ,"['rocky', 'micky', 'graffiti', 'champ', 'raging', 'fight', 'boxing', 'hooker', 'bale', 'ringo']"
435,3,3_chaplin_patton_soldiers_casablanca,"['chaplin', 'patton', 'soldiers', 'casablanca', 'platoon', 'army', 'soldier', 'filming', 'combat', 'vietnam']"
436,8,8_rocky_micky_graffiti_champ,"['rocky', 'micky', 'graffiti', 'champ', 'raging', 'fight', 'boxing', 'hooker', 'bale', 'ringo']"
437,2,2_coppola_godfather_panther_spielberg,"['coppola', 'godfather', 'panther', 'spielberg', 'film', 'corleone', 'schindler', 'films', 'wakanda', 'dune']"
438,3,3_chaplin_patton_soldiers_casablanca,"['chaplin', 'patton', 'soldiers', 'casablanca', 'platoon', 'army', 'soldier', 'filming', 'combat', 'vietnam']"
439,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
440,3,3_chaplin_patton_soldiers_casablanca,"['chaplin', 'patton', 'soldiers', 'casablanca', 'platoon', 'army', 'soldier', 'filming', 'combat', 'vietnam']"
441,3,3_chaplin_patton_soldiers_casablanca,"['chaplin', 'patton', 'soldiers', 'casablanca', 'platoon', 'army', 'soldier', 'filming', 'combat', 'vietnam']"
442,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
443,3,3_chaplin_patton_soldiers_casablanca,"['chaplin', 'patton', 'soldiers', 'casablanca', 'platoon', 'army', 'soldier', 'filming', 'combat', 'vietnam']"
444,1,1_maximus_cleopatra_shakespeare_queen,"['maximus', 'cleopatra', 'shakespeare', 'queen', 'gladiator', 'hamlet', 'romeo', 'roman', 'juliet', 'antony']"
445,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
446,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
447,11,11_mutiny_captain_robin_dunkirk,"['mutiny', 'captain', 'robin', 'dunkirk', 'braveheart', 'slave', 'flynn', 'navy', 'crew', 'mcqueen']"
448,9,9_avatar_disney_tarantino_manson,"['avatar', 'disney', 'tarantino', 'manson', 'toy', '3d', 'pixar', 'film', 'apollo', 'animation']"
449,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
450,8,8_rocky_micky_graffiti_champ,"['rocky', 'micky', 'graffiti', 'champ', 'raging', 'fight', 'boxing', 'hooker', 'bale', 'ringo']"
451,4,4_higgins_oliver_mildred_eliza,"['higgins', 'oliver', 'mildred', 'eliza', 'hepburn', 'belinda', 'fanny', 'hitchcock', 'cary', 'mrs']"
452,3,3_chaplin_patton_soldiers_casablanca,"['chaplin', 'patton', 'soldiers', 'casablanca', 'platoon', 'army', 'soldier', 'filming', 'combat', 'vietnam']"
453,5,5_musical_astaire_ziegfeld_broadway,"['musical', 'astaire', 'ziegfeld', 'broadway', 'dance', 'bernadette', 'poppins', 'songs', 'sung', 'melody']"
454,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
455,0,0_tarantino_forrest_exorcist_pulp,"['tarantino', 'forrest', 'exorcist', 'pulp', 'film', 'gump', 'scene', 'woodroof', 'director', 'critics']"
456,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
457,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
458,11,11_mutiny_captain_robin_dunkirk,"['mutiny', 'captain', 'robin', 'dunkirk', 'braveheart', 'slave', 'flynn', 'navy', 'crew', 'mcqueen']"
459,3,3_chaplin_patton_soldiers_casablanca,"['chaplin', 'patton', 'soldiers', 'casablanca', 'platoon', 'army', 'soldier', 'filming', 'combat', 'vietnam']"
460,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
461,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
462,5,5_musical_astaire_ziegfeld_broadway,"['musical', 'astaire', 'ziegfeld', 'broadway', 'dance', 'bernadette', 'poppins', 'songs', 'sung', 'melody']"
463,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
464,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
465,0,0_tarantino_forrest_exorcist_pulp,"['tarantino', 'forrest', 'exorcist', 'pulp', 'film', 'gump', 'scene', 'woodroof', 'director', 'critics']"
466,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
467,2,2_coppola_godfather_panther_spielberg,"['coppola', 'godfather', 'panther', 'spielberg', 'film', 'corleone', 'schindler', 'films', 'wakanda', 'dune']"
468,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
469,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
470,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
471,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
472,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
473,10,10_gehrig_woody_jordan_joe,"['gehrig', 'woody', 'jordan', 'joe', 'yankees', 'stevens', 'fred', 'guthrie', 'sinatra', 'homer']"
474,10,10_gehrig_woody_jordan_joe,"['gehrig', 'woody', 'jordan', 'joe', 'yankees', 'stevens', 'fred', 'guthrie', 'sinatra', 'homer']"
475,3,3_chaplin_patton_soldiers_casablanca,"['chaplin', 'patton', 'soldiers', 'casablanca', 'platoon', 'army', 'soldier', 'filming', 'combat', 'vietnam']"
476,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
477,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
478,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
479,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
480,5,5_musical_astaire_ziegfeld_broadway,"['musical', 'astaire', 'ziegfeld', 'broadway', 'dance', 'bernadette', 'poppins', 'songs', 'sung', 'melody']"
481,10,10_gehrig_woody_jordan_joe,"['gehrig', 'woody', 'jordan', 'joe', 'yankees', 'stevens', 'fred', 'guthrie', 'sinatra', 'homer']"
482,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
483,8,8_rocky_micky_graffiti_champ,"['rocky', 'micky', 'graffiti', 'champ', 'raging', 'fight', 'boxing', 'hooker', 'bale', 'ringo']"
484,3,3_chaplin_patton_soldiers_casablanca,"['chaplin', 'patton', 'soldiers', 'casablanca', 'platoon', 'army', 'soldier', 'filming', 'combat', 'vietnam']"
485,9,9_avatar_disney_tarantino_manson,"['avatar', 'disney', 'tarantino', 'manson', 'toy', '3d', 'pixar', 'film', 'apollo', 'animation']"
486,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
487,3,3_chaplin_patton_soldiers_casablanca,"['chaplin', 'patton', 'soldiers', 'casablanca', 'platoon', 'army', 'soldier', 'filming', 'combat', 'vietnam']"
488,12,12_juror_arrowsmith_jurors_skippy,"['juror', 'arrowsmith', 'jurors', 'skippy', 'falcon', 'jury', 'dodsworth', 'guilty', 'jess', 'maltese']"
489,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
490,9,9_avatar_disney_tarantino_manson,"['avatar', 'disney', 'tarantino', 'manson', 'toy', '3d', 'pixar', 'film', 'apollo', 'animation']"
491,12,12_juror_arrowsmith_jurors_skippy,"['juror', 'arrowsmith', 'jurors', 'skippy', 'falcon', 'jury', 'dodsworth', 'guilty', 'jess', 'maltese']"
492,4,4_higgins_oliver_mildred_eliza,"['higgins', 'oliver', 'mildred', 'eliza', 'hepburn', 'belinda', 'fanny', 'hitchcock', 'cary', 'mrs']"
493,1,1_maximus_cleopatra_shakespeare_queen,"['maximus', 'cleopatra', 'shakespeare', 'queen', 'gladiator', 'hamlet', 'romeo', 'roman', 'juliet', 'antony']"
494,7,7_miss_erin_julia_daisy,"['miss', 'erin', 'julia', 'daisy', 'regina', 'lillian', 'minny', 'hepburn', 'laurie', 'women']"
