,Topic,Name,Representation
534,0,0_tarantino_forrest_exorcist_pulp,"['tarantino', 'forrest', 'exorcist', 'pulp', 'film', 'gump', 'scene', 'woodroof', 'director', 'critics']"
535,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
536,4,4_higgins_oliver_mildred_eliza,"['higgins', 'oliver', 'mildred', 'eliza', 'hepburn', 'belinda', 'fanny', 'hitchcock', 'cary', 'mrs']"
537,1,1_maximus_cleopatra_shakespeare_queen,"['maximus', 'cleopatra', 'shakespeare', 'queen', 'gladiator', 'hamlet', 'romeo', 'roman', 'juliet', 'antony']"
538,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
539,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
540,10,10_gehrig_woody_jordan_joe,"['gehrig', 'woody', 'jordan', 'joe', 'yankees', 'stevens', 'fred', 'guthrie', 'sinatra', 'homer']"
541,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
542,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
543,1,1_maximus_cleopatra_shakespeare_queen,"['maximus', 'cleopatra', 'shakespeare', 'queen', 'gladiator', 'hamlet', 'romeo', 'roman', 'juliet', 'antony']"
544,4,4_higgins_oliver_mildred_eliza,"['higgins', 'oliver', 'mildred', 'eliza', 'hepburn', 'belinda', 'fanny', 'hitchcock', 'cary', 'mrs']"
545,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
546,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
547,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
548,2,2_coppola_godfather_panther_spielberg,"['coppola', 'godfather', 'panther', 'spielberg', 'film', 'corleone', 'schindler', 'films', 'wakanda', 'dune']"
549,2,2_coppola_godfather_panther_spielberg,"['coppola', 'godfather', 'panther', 'spielberg', 'film', 'corleone', 'schindler', 'films', 'wakanda', 'dune']"
550,13,13_hawking_woodward_bernstein_stephen,"['hawking', 'woodward', 'bernstein', 'stephen', 'watergate', 'redmayne', 'kwan', 'multiverse', 'jules', 'michelle']"
551,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
552,7,7_miss_erin_julia_daisy,"['miss', 'erin', 'julia', 'daisy', 'regina', 'lillian', 'minny', 'hepburn', 'laurie', 'women']"
553,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
