Driving Miss Daisy;306;63;9328
Born on the Fourth of July;154;42;605
Dead Poets Society;188;15;4300
Field of Dreams;36;7;3200
My Left Foot;74;37;831
Dances with Wolves;194;44;2986
Awakenings;82;34;495
Ghost (filme);176;76;12329
The Godfather Part III;140;44;5813
Goodfellas;206;54;787
O Silêncio dos Inocentes;360;97;17019
Beauty and the Beast (filme de 1991);402;20;16059
Bugsy;112;37;1733
JFK (filme);140;39;3178
O Príncipe das Marés;55;29;1360
Unforgiven;335;67;14720
The Crying Game;96;32;1818
A Few Good Men;91;40;1572
Howards End (filme);127;1;4339
Perfume de Mulher (1992);152;49;5798
A Lista de Schindler;485;156;27764
O Fugitivo (1993);100;46;9455
The Remains of the Day (filme);103;41;2123
O Piano;239;48;3178
Forrest Gump;393;145;34213
Quatro Casamentos e Um Funeral;108;42;1569
Pulp Fiction;451;135;62279
The Shawshank Redemption;268;161;52729
Braveheart;206;21;8587
Apollo 13 (filme);148;43;8053
Babe (1995);443;233;53512
Il postino;110;38;2013
Sense and Sensibility (filme);314;51;1381
O Paciente Inglês (filme);200;49;3262
Fargo (filme);159;45;2424
Jerry Maguire;189;35;10890
Segredos e Mentiras;29;2;1370
Shine (filme);81;40;683
Titanic (filme de 1997);716;124;57586
Melhor É Impossível;216;50;3673
Ou Tudo ou Nada;138;40;1273
Good Will Hunting;110;49;1372
L.A. Confidential;294;69;19218
Shakespeare in Love;296;40;1388
Elizabeth (filme);78;36;1840
A Vida É Bela;372;109;9043
O Resgate do Soldado Ryan;340;85;19504
The Thin Red Line (1998);327;58;18861
