Lo que el viento se llevó (película);315;154;61047
Amarga victoria;61;20;2610
Adiós, Mr. Chips (película de 1939);56;23;2343
Tú y yo (película de 1939);64;27;2614
Mr. Smith Goes to Washington;119;54;3863
Ninotchka;61;23;1952
Of Mice and Men (película de 1939);46;13;975
La diligencia;98;59;8503
El mago de Oz;120;39;9713
Cumbres Borrascosas (película de 1939);61;22;4303
Rebecca (película);267;47;57501
El cielo y tú;55;13;861
Foreign Correspondent;92;41;12984
The Grapes of Wrath (película);103;33;2737
El gran dictador;148;64;15479
Espejismo de amor;44;12;638
La carta (película de 1940);67;25;3615
The Long Voyage Home (película de 1940);52;27;1483
Our Town (película);49;17;2090
The Philadelphia Story;60;37;2116
¡Qué verde era mi valle!;94;47;6790
De corazón a corazón;40;10;470
Citizen Kane;378;205;92813
Here Comes Mr. Jordan;66;13;10271
Si no amaneciera;54;12;5469
La loba (película de 1941);51;14;2683
El halcón maltés (película de 1941);103;45;5311
Sergeant York;73;25;3758
Suspicion;89;33;12551
La señora Miniver;97;31;9339
49th Parallel;60;24;7400
Kings Row;83;18;12883
The Magnificent Ambersons;84;55;4313
El orgullo de los Yanquis;65;15;4832
Random Harvest;43;13;938
Yanqui Dandy;131;26;7236
Casablanca (película);390;118;63442
Por quién doblan las campanas (película);46;21;3803
Heaven Can Wait (película de 1943);54;17;3257
El amor llamó dos veces;46;16;8761
The Ox-Bow Incident;66;23;7902
Madame Curie (película de 1943);93;20;6627
La canción de Bernadette;59;14;2470
Watch on the Rhine;73;12;9182
Going My Way;73;21;4847
Double Indemnity;104;44;13926
Gaslight;76;27;2334
Wilson (película);70;14;1039
Desde que te fuiste;47;12;663
Días sin huella;99;35;5787
Levando anclas;53;15;2069
Las campanas de Santa María;58;20;1524
Mildred Pierce;89;22;9594
Spellbound;71;36;2481
Los mejores años de nuestra vida;68;42;4956
Enrique V (película de 1944);143;26;13993
Qué bello es vivir;139;44;19283
El filo de la navaja (película);54;18;1730
El despertar (película de 1946);65;18;3953
Gentleman's Agreement;65;26;3669
The Bishop's Wife;61;24;1429
Encrucijada de odios;58;22;1697
Grandes esperanzas (película de 1946);54;16;2465
Miracle on 34th Street;60;22;2378
Hamlet (película de 1948);60;20;2320
Belinda (película);51;18;1324
Las zapatillas rojas (película de 1948);71;30;4159
El tesoro de Sierra Madre (película);90;47;7186
Nido de víboras;60;21;1258
