Ben-Hur (película de 1959);280;103;58799
Anatomía de un asesinato;88;61;7663
El diario de Ana Frank (película);100;34;8336
Historia de una monja (película);74;16;4485
Un lugar en la cumbre (película);47;12;861
The Apartment;96;59;9263
El Álamo (película de 1960);65;27;2877
Elmer Gantry;62;20;3279
Hijos y amantes (película);49;12;1331
Tres vidas errantes;44;14;1450
West Side Story (película de 1961);195;54;16346
Fanny (película de 1961);49;14;5153
Los cañones de Navarone;97;23;7844
The Hustler;65;38;3733
Judgment at Nuremberg;92;25;7456
Lawrence de Arabia (película);163;61;24997
El día más largo (película);229;25;3612
Vivir de ilusión;66;15;5543
Mutiny on the Bounty (película de 1962);90;46;5658
To Kill a Mockingbird (película);156;73;18851
Tom Jones (película);64;16;2058
América, América (película);55;17;4519
Cleopatra (película de 1963);166;54;20790
La conquista del Oeste;93;30;2853
Los lirios del valle;39;10;855
My Fair Lady (película de 1964);180;32;22489
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;119;56;7123
Becket (película);82;16;2476
Mary Poppins (película);216;36;30965
Zorba, el griego (película);89;30;12748
The Sound of Music;240;40;18727
Doctor Zhivago (película);215;74;29259
Ship of Fools (película de 1965);69;12;2372
Darling (película);41;13;1253
El payaso de la ciudad;47;15;2024
A Man for All Seasons;154;36;12431
Alfie (película de 1966);52;12;1593
¡Que vienen los rusos!;80;12;5878
The Sand Pebbles;59;11;9207
¿Quién teme a Virginia Woolf?;56;15;3085
In the Heat of the Night;72;30;3661
Bonnie y Clyde (película);114;42;6939
Doctor Dolittle (película de 1967);61;16;2184
El graduado;88;45;5597
Guess Who's Coming to Dinner;82;41;13090
Oliver (película);91;19;1516
Funny Girl;84;22;1234
El león en invierno (película);125;22;9609
Raquel, Raquel;40;15;1060
Romeo y Julieta (película de 1968);175;25;15464
