Parásitos (película);199;100;21310
Ford v Ferrari;170;89;19994
El irlandés;281;227;43372
Jojo Rabbit;136;98;14260
Joker (película);208;188;41565
Mujercitas (película de 2019);150;207;21007
Historia de un matrimonio;81;55;11195
1917 (película);180;182;20452
Once Upon a Time in Hollywood;250;126;26469
Nomadland;87;127;4433
El padre (película);34;7;1104
Judas and the Black Messiah;56;17;5953
Mank (película);105;28;8498
Minari;59;30;2991
Promising Young Woman;62;23;4341
Sound of Metal;45;16;5982
El juicio de los 7 de Chicago;102;12;8827
CODA (película);88;49;6463
Belfast (película);80;48;4182
Don't Look Up;115;50;12965
Drive My Car (película);70;35;7570
Dune (película de 2021);257;262;44874
King Richard;88;80;5345
Licorice Pizza;90;58;7559
El callejón de las almas perdidas (película de 2021);97;70;9751
El poder del perro;83;36;7961
West Side Story (película de 2021);169;99;26914
Everything Everywhere All at Once;93;43;11426
Sin novedad en el frente (película de 2022);76;46;5563
Avatar: The Way of Water;184;184;38434
The Banshees of Inisherin;84;62;5107
Elvis (película de 2022);120;70;11401
Los Fabelman;120;103;21632
Tár;76;57;4844
Top Gun: Maverick;172;102;19380
Triangle of Sadness;75;28;3123
Ellas hablan;76;51;3045
