Driving Miss Daisy;74;16;4834
Nacido el cuatro de julio;95;33;7069
Dead Poets Society;101;39;8700
Field of Dreams;126;40;20528
Mi pie izquierdo;54;13;2327
Dances with Wolves;70;21;5243
Despertares;52;10;7561
Ghost (película de 1990);180;24;10177
El padrino III;169;102;25993
Goodfellas;154;36;9720
The Silence of the Lambs (película);132;32;9372
La bella y la bestia (película de 1991);220;65;24420
Bugsy (película de 1991);68;18;5339
JFK (película);201;16;16215
El príncipe de las mareas;42;11;1838
Unforgiven (película);136;37;6835
The Crying Game;147;13;5987
A Few Good Men;77;19;9930
Howards End;60;12;2210
Scent of a Woman;133;29;5059
La lista de Schindler;289;114;42403
El fugitivo (película de 1993);141;24;5751
Lo que queda del día (película);68;21;2645
The Piano;66;21;3185
En el nombre del padre (película de 1993);91;32;7973
Forrest Gump (película);340;110;36111
Cuatro bodas y un funeral;58;15;7149
Pulp Fiction;282;83;31146
Quiz Show: El dilema;78;22;9929
The Shawshank Redemption;359;208;63168
Braveheart;178;27;13697
Apolo 13 (película);163;26;4726
Babe;70;19;8566
Il Postino;66;19;1865
Sense and Sensibility (película);80;25;9180
El paciente inglés;126;43;12083
Fargo (película);143;91;22958
Jerry Maguire;86;14;6556
Secretos y mentiras;64;34;2090
Shine (película);77;15;2641
Titanic (película de 1997);384;302;109526
Mejor... imposible;85;23;5425
The Full Monty;84;20;8021
Good Will Hunting;86;31;8827
L.A. Confidential;115;46;7336
Shakespeare in Love;118;25;7591
Elizabeth (película);119;19;9007
La vida es bella;161;57;10991
Saving Private Ryan;239;111;30447
La delgada línea roja (película de 1998);84;20;4181
