Topic,Name,Representation,Count
-1,-1_después_casa_arthur_sam,"['después', 'casa', 'arthur', 'sam', 'familia', 'michael', 'finalmente', 'hijo', 'guerra', 'tiempo']",221
1,1_película_gillis_freddie_john,"['película', 'gillis', 'freddie', 'john', 'juguetes', 'george', 'michael', 'maggie', 'norma', 'años']",85
1,1_película_gillis_freddie_john,"['película', 'gillis', 'freddie', 'john', 'juguetes', 'george', 'michael', 'maggie', 'norma', 'años']",46
0,0_roxie_madre_familia_york,"['roxie', 'madre', 'familia', 'york', 'mark', 'nueva', 'daisy', 'woody', 'bird', 'bugsy']",106
3,3_kuribayashi_capitán_kaffee_soldados,"['kuribayashi', 'capitán', 'kaffee', 'soldados', 'schofield', 'coronel', 'teniente', 'marina', 'alemán', 'soldado']",26
4,4_amsterdam_reina_rey_castillo,"['amsterdam', 'reina', 'rey', 'castillo', 'maurice', 'trono', 'príncipe', 'princesa', 'torneo', 'ingleses']",19
6,6_romeo_mario_julieta_corleone,"['romeo', 'mario', 'julieta', 'corleone', 'marie', 'michael', 'capitán', 'bonasera', 'montesco', 'pierre']",12
5,5_jones_meer_nazis_judíos,"['jones', 'meer', 'nazis', 'judíos', 'nazi', 'hitler', 'alemanes', 'judío', 'alemán', 'resistencia']",13
