ANO;TITULO;VENCEDOR;LINK_EN;LINK_ES;LINK_PT;PAGEID_EN;TITLE_EN;TITLE_ES;PAGEID_ES;TITLE_PT;PAGEID_PT
1933;One Hour with You;Não;https://en.wikipedia.org/wiki/One_Hour_with_You;https://es.wikipedia.org/wiki/Una_hora_contigo;https://pt.wikipedia.org/wiki/Uma_Hora_Contigo;61060;One Hour with You;Una hora contigo;254314.0;Uma Hora Contigo;3172821
1933;Shanghai Express (film);Não;https://en.wikipedia.org/wiki/Shanghai_Express_(film);https://es.wikipedia.org/wiki/El_expreso_de_Shanghai;https://pt.wikipedia.org/wiki/O_Expresso_de_Xangai;61061;Shanghai Express (film);El expreso de Shanghai;8821078.0;O Expresso de Xangai;2055324
1933;The Smiling Lieutenant;Não;https://en.wikipedia.org/wiki/The_Smiling_Lieutenant;https://es.wikipedia.org/wiki/El_teniente_seductor;https://pt.wikipedia.org/wiki/O_Tenente_Sedutor;61062;The Smiling Lieutenant;El teniente seductor;2986815.0;O Tenente Sedutor;3165412
1934;Cavalcade (1933 film);Sim;https://en.wikipedia.org/wiki/Cavalcade_(1933_film);https://es.wikipedia.org/wiki/Cabalgata_(película);https://pt.wikipedia.org/wiki/Cavalgada_(filme);3947300;Cavalcade (1933 film);Cabalgata (película);1061913.0;Cavalgada (filme);1633389
1934;A Farewell to Arms (1932 film);Não;https://en.wikipedia.org/wiki/A_Farewell_to_Arms_(1932_film);https://es.wikipedia.org/wiki/Adiós_a_las_armas_(película_de_1932);https://pt.wikipedia.org/wiki/A_Farewell_to_Arms_(1932);13654305;A Farewell to Arms (1932 film);Adiós a las armas (película de 1932);21379.0;A Farewell to Arms (1932);3167721
1934;42nd Street (film);Não;https://en.wikipedia.org/wiki/42nd_Street_(film);https://es.wikipedia.org/wiki/La_calle_42;https://pt.wikipedia.org/wiki/Rua_42;840058;42nd Street (film);La calle 42;1337645.0;Rua 42;2463609
1934;I Am a Fugitive from a Chain Gang;Não;https://en.wikipedia.org/wiki/I_Am_a_Fugitive_from_a_Chain_Gang;https://es.wikipedia.org/wiki/Soy_un_fugitivo;https://pt.wikipedia.org/wiki/I_Am_a_Fugitive_from_a_Chain_Gang;61070;I Am a Fugitive from a Chain Gang;Soy un fugitivo;298845.0;I Am a Fugitive from a Chain Gang;2808876
1934;Lady for a Day;Não;https://en.wikipedia.org/wiki/Lady_for_a_Day;https://es.wikipedia.org/wiki/Dama_por_un_día;https://pt.wikipedia.org/wiki/Lady_for_a_Day;61071;Lady for a Day;Dama por un día;3701393.0;Lady for a Day;2070372
1934;Little Women (1933 film);Não;https://en.wikipedia.org/wiki/Little_Women_(1933_film);https://es.wikipedia.org/wiki/Little_Women_(película_de_1933);https://pt.wikipedia.org/wiki/As_Quatro_Irmãs;2175661;Little Women (1933 film);Little Women (película de 1933);255984.0;As Quatro Irmãs;2465009
1934;The Private Life of Henry VIII;Não;https://en.wikipedia.org/wiki/The_Private_Life_of_Henry_VIII;https://es.wikipedia.org/wiki/La_vida_privada_de_Enrique_VIII;https://pt.wikipedia.org/wiki/The_Private_Life_of_Henry_VIII;61074;The Private Life of Henry VIII;La vida privada de Enrique VIII;2987957.0;The Private Life of Henry VIII;1643278
