Topic,Name,Representation,Count
0,0_family_father_mother_night,"['family', 'father', 'mother', 'night', 'house', 'police', 'wife', 'joe', 'returns', 'time']",417
2,2_jen_bai_mu_chinese,"['jen', 'bai', 'mu', 'chinese', 'holman', 'amphibian', 'fox', 'jobu', 'gong', 'wang']",14
-1,-1_father_jordan_dunbar_ruggles,"['father', 'jordan', 'dunbar', 'ruggles', 'malley', 'scarlett', 'family', 'jamal', 'horace', 'allen']",86
3,3_wikus_hanna_jewish_schindler,"['wikus', 'hanna', 'jewish', 'schindler', 'oskar', 'hynkel', 'jews', 'nazi', 'warsaw', 'franz']",12
1,1_captain_crew_desmond_soldiers,"['captain', 'crew', 'desmond', 'soldiers', 'patton', 'navy', 'lieutenant', 'orders', 'wounded', 'platoon']",42
